timestamp,group_id,dns_resolution_s,request_id,tcp_connect_s,tls_handshake_s,time_to_first_byte_s,total_request_time_s,http_status,content_length,x_lodbrok_cell,x_cache
2025-07-23T15:52:24.238220,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIyNDc4NjQyIn0,0.003269,0b495616-2b54-4420-9e21-7e6ec227e4c3,0.011944,0.061111,0.666319,0.678484,200,57067,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:24.826562,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxNTk5NDAwOSJ9,0.003921,e303e1f2-9d2e-4acd-8a32-681ced40a52a,0.012826,0.067978,0.524233,0.560064,200,26623,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:25.567183,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiI0MjM4Mjg1MjA5NiJ9,0.002977,79407e29-720d-4f88-a550-4cd406382446,0.011493,0.068389,0.704058,0.713693,200,61316,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:26.212236,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxMDU0MDQ5In0,0.003215,b68422d8-1a52-446c-8e6b-8d6f695896a1,0.012101,0.065883,0.547514,0.620299,200,60245,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:27.306865,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxMTkxMDMwIn0,0.002847,55443c7b-e8c9-492d-b15b-02f7e588cd30,0.011256,0.054231,1.06447,1.075198,200,67526,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:28.233202,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxNjkyNjQ4OSJ9,0.00416,871539ad-c47a-4158-9077-13282204e933,0.01261,0.08611,0.857895,0.903502,200,49257,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:28.840074,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxMTcwODYzIn0,0.013575,3719d4e0-055b-4cb0-9f3b-ccfe39232743,0.02217,0.067501,0.553409,0.5894,200,51505,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:29.871885,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiI2MDk4NzM4In0,0.00385,7d500b40-7521-4c98-a0ee-f6339042e6c7,0.012717,0.077307,0.990045,1.002105,200,69175,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:30.584598,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiI4MzA2ODQ2OTI0OCJ9,0.004327,6d536523-ea42-4fe8-94a9-fd8a0739bdae,0.013028,0.06154,0.677194,0.688016,200,48546,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:31.305277,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIzNDY3NzA1NTQ4OCJ9,0.004198,3c815211-fd8c-4364-868a-fdce960d765a,0.014673,0.070293,0.68422,0.694983,200,62605,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:32.017022,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIzNjQ0Njg1NTE2OCJ9,0.003789,53550015-f8e3-41db-a983-38efabba4c08,0.012032,0.067977,0.676708,0.686339,200,37856,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:32.991498,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxNDUyMDU0OCJ9,0.002856,a50c5e06-64d9-484d-a379-ca48a965c897,0.011576,0.07659,0.884127,0.946145,200,69777,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:33.401382,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIyMjk5NTM0NDU4ODgifQ,0.003908,744f8149-630a-40e9-be6a-069275041b1f,0.012773,0.065702,0.3824,0.383052,200,1486,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:34.065124,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIyMjM4ODMwNjczOTIifQ,0.00405,db9f03cc-f3c1-40c7-97ad-a805a13f265a,0.012636,0.067892,0.630401,0.639027,200,27703,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:34.558206,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIyMDkxMzIwODUyNDgifQ,0.002301,cf91e950-f1de-452a-b2ea-2cb62f3aee76,0.010489,0.056855,0.474998,0.475969,200,12526,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:35.240877,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxNjE5NTIwNzE2ODAifQ,0.003778,050e9cd3-d495-4748-bd6a-b8aef61b5bf4,0.012449,0.07038,0.602204,0.65608,200,57413,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:36.210229,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIyMTk3NzA2MzQyNDAifQ,0.003851,500e495b-6693-4e17-bd9b-754bb2b48ac4,0.011823,0.06903,0.945433,0.946715,200,24165,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:36.821869,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiI5MzQ5ODMifQ,0.00306,7a1d1e05-922e-4ce6-b478-cbb494e76c62,0.012014,0.066264,0.587737,0.58922,200,19691,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:37.436761,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiI3NjM4OTA1NjUxMiJ9,0.003933,89faa6ba-7852-45fb-97f8-24392e3008d4,0.016336,0.075409,0.591227,0.592142,200,13536,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:38.333443,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiI4NjQ1MTY4In0,0.00238,11b0fa61-256b-4ed1-8ccf-be235841c6a2,0.011263,0.070325,0.802072,0.874671,200,73352,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:38.983531,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiI5ODg5MjkifQ,0.004087,3f1c2231-a060-4268-9926-7cd1f74d6212,0.019811,0.081619,0.611951,0.621903,200,37189,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:39.620393,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiI5MjI0NzgifQ,0.003694,fd99a9e0-a7ed-4fa3-a451-87db4ddfae20,0.012235,0.066792,0.60764,0.608637,200,15890,prod_central_1-c1,CONFIG_NOCACHE
2025-07-23T15:52:40.305380,eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxNDY5MzU5MzkwNzIifQ,0.003116,c30aadcd-da35-4a10-80d4-379b6fe1460a,0.011167,0.054395,0.65969,0.661647,200,13297,prod_central_1-c1,CONFIG_NOCACHE
